concepto,anio,provinciaid,provincia,egb_1y2_total,egb_1,egb_2,egb_3,egb_4,egb_5,egb_6,egb_3_total,egb_7,egb_8,egb_9,poli_total,poli_1,poli_2,poli_3
abandono,2003,6,BUENOS AIRES ,1.345503291,1.8065462985,0.5054893815,0.6080002307,0.5717187786,0.8922520472,3.6874101912,7.4617929811,3.2433580073,8.8098316803,10.8456428652,23.0336994471,21.7137238376,17.2665280411,32.4406142114
abandono,2003,10,CATAMARCA                      ,2.3062508117,3.4004024145,-0.3628766219,0.7484542792,1.7105713308,2.5476245123,6.0899399583,7.1952062687,3.6316472114,6.0705496308,12.546844551,14.8700236321,13.9512661252,7.9841040462,24.2320819113
abandono,2003,22,CHACO                          ,3.6128667107,4.2906921805,2.2333683533,3.3707865169,3.1720288161,4.6240774908,4.0239656708,11.5043260728,-1.0855565777,15.8060425867,21.164866652,13.8244445658,11.1019567456,9.0819267188,23.6200644641
abandono,2003,26,CHUBUT                         ,0.8378833144,0.8492776259,0.0720906282,-0.6888751799,1.214953271,0.9275664409,2.7310699368,5.6546405132,3.1551901336,5.2684228076,9.0269352099,15.8963428315,15.334292817,11.8428040361,21.8915343915
abandono,2003,2,CIUDAD DE BUENOS AIRES,-0.0817797429,0.5371437511,-0.9887043189,-1.3097826087,-0.9953845298,-1.0717499795,3.276966988,3.7720926479,-13.1179165662,7.1188867511,15.2498269235,11.5724654467,7.8114372417,7.3547787173,20.901546708
abandono,2003,14,CORDOBA                        ,0.7539999616,1.2647153623,0.1809656988,-0.1432439514,0.4454857445,0.9630314844,1.7389996993,10.1615577716,9.0996761425,9.6230614336,12.3521378296,16.5488595788,15.4925073099,8.9358683314,26.7713208528
abandono,2003,18,CORRIENTES                     ,4.4068570849,4.3276108727,3.4963781109,3.4858777261,5.1362013902,3.5094637224,6.9411601057,9.2782758308,7.9645125517,10.856744585,9.0762331839,19.5424429469,13.4062927497,23.3043905636,23.8043596139
abandono,2003,30,ENTRE RIOS                     ,1.9566843791,2.7761466693,0.7527944643,0.2670961153,1.9957941515,2.7473194416,3.1637149746,9.3191286569,4.0702584023,11.7265867732,13.0395540218,11.6506232114,11.2565120318,9.1294379212,15.275416525
abandono,2003,34,FORMOSA                        ,4.1638377323,6.147269859,2.1140256318,1.4776434466,4.0021416142,3.0460836068,8.3170695091,10.4932812188,-1.9482672857,15.25876986,19.201946472,18.2761295327,14.4256030571,19.7891777934,22.4557306869
abandono,2003,38,JUJUY                          ,0.9404421435,0.9926603297,-0.2229930624,0.2187120292,0.6573126027,0.9060315817,3.2144257154,11.472673222,-4.130608683,16.5202553245,20.9875671094,18.5210207905,12.3224236716,14.8515736767,32.414910859
abandono,2003,42,LA PAMPA                       ,0.5801030089,0.204563336,-0.2848525469,-0.3792250618,0.55,1.6319276135,1.6949152542,8.0131343971,5.9753398672,8.468078013,10.0317838697,16.0660909997,16.4673216574,11.0017228649,21.7338587451
abandono,2003,46,LA RIOJA                       ,2.9600488082,3.1632417456,2.1069297284,2.4047851563,2.8892866275,2.0755721128,5.3436185133,9.9082568807,6.3772624434,7.8440886301,17.0616113744,16.7178805747,12.7153762268,12.1088781481,27.0638297872
abandono,2003,50,MENDOZA                        ,1.2604835459,2.5033527045,0.2733750182,0.7944360377,1.3100174268,1.6401394573,0.9936821444,8.9043688953,-1.8566152223,12.1775554484,16.426522926,16.6521517656,15.7044910544,9.5630967206,26.0982522437
abandono,2003,54,MISIONES                       ,5.5098735263,6.659162893,4.1497101985,4.3959360225,4.513613057,6.2717770035,7.2790737272,12.9135198383,8.0589497248,12.8916601715,19.5623131242,18.6113582671,19.4548944338,11.6563825685,25.2609830361
abandono,2003,58,NEUQUEN                        ,0.6142845311,1.250202955,-1.0515689409,-0.0831877548,-0.0583381948,1.1980563003,2.3613712238,9.0067948533,-0.5775288764,13.0386652961,14.5765937203,12.2310305776,9.4255508852,7.4421513446,22.3981463603
abandono,2003,62,RIO NEGRO                      ,0.9407831318,0.6830696313,-0.4995526394,0.2683763232,0.2274561597,1.1098779134,3.8354356116,12.4024121036,4.4386628824,16.8812382468,16.0774727341,17.5604924296,12.0070216501,10.8848314607,34.7182080925
abandono,2003,66,SALTA                          ,2.0086791275,2.471225457,0.7354872603,1.0124995877,1.2449134423,2.6934465413,4.1985761016,7.133028167,-6.1672309604,10.1609777321,17.4763295284,20.023057756,20.4115578367,12.7819548872,27.9922908221
abandono,2003,70,SAN JUAN                       ,3.4607659891,6.1104861152,2.0865795,1.5894039735,2.7276663299,3.9688372777,3.9044013251,10.5800875712,5.3132122927,13.818359375,13.3205799436,18.4484055022,17.2436174816,12.8665387777,26.998516565
abandono,2003,74,SAN LUIS                       ,3.262645638,4.7627638463,2.0034229337,0.3242542153,1.5834880419,5.1104972376,5.9965803615,9.8228591775,6.88057041,9.7313668686,13.7637405171,18.8740966147,14.497999619,11.7881415514,33.5354092036
abandono,2003,78,SANTA CRUZ                     ,0.026839333,-0.6296733569,-1.7290480065,-1.4640097601,-1.2587412587,0.8315185112,4.5087900724,9.8169975186,9.9530700039,9.4997705369,10.0175233645,15.5752642449,10.5622359441,9.6494398265,28.9065772937
abandono,2003,82,SANTA FE                ,1.3855887716,2.1602809306,-0.1118881119,0.1377021983,1.3886093781,1.531924978,3.2346998185,7.0800677518,-3.8346951931,12.3776961981,12.5255633314,16.5268593794,18.7273041674,12.1747733775,18.412099468
abandono,2003,86,SANTIAGO DEL ESTERO,4.5209647602,6.7169479487,1.8008560123,3.2566721016,4.3662936744,5.2216652878,5.624207858,17.7037477692,22.1017028225,12.437357631,17.1862987956,14.5716249545,11.7544051658,10.7703366479,22.4996551248
abandono,2003,94,TIERRA DEL FUEGO               ,0.5056890013,-0.084317032,-0.4412354593,0.0770119369,0.314589068,1.4723438122,1.6726403823,6.3004457294,3.2809295967,5.9855521156,10.2512155592,16.6432160804,9.8647971958,8.7554721701,35.60551124
abandono,2003,90,TUCUMAN                        ,1.4461883999,1.8580939911,0.6936312044,0.7196688905,1.4098523802,1.7732401934,2.3390359906,7.6902951992,-5.0468525215,13.0558646784,17.7329388369,15.9514581026,14.1315187423,14.1784820684,20.6986312873
promocion,2003,6,BUENOS AIRES ,93.4847950838,91.5017577392,94.0538764783,94.6966666306,94.876189836,94.5053299236,91.4159389853,83.8619755155,88.4242382805,80.5878408169,82.2541825899,68.7198339086,66.9395781912,72.9145006422,66.2756994899
promocion,2003,10,CATAMARCA                      ,91.9754346253,88.490945674,94.6448207609,92.8517192754,92.1655833048,93.2866651366,90.6506555569,87.9004378889,91.5823605707,87.7631938748,83.7955329036,80.9731563958,80.3631151457,86.3981213873,75.3839590444
promocion,2003,22,CHACO                          ,88.0058485049,81.3371131585,88.3519164944,87.5853036465,90.4575114095,90.7633763838,91.6929803255,79.2746857024,97.6816927323,71.7283896638,66.7346264051,80.5366013429,79.7253690354,85.3025936599,75.8964544722
promocion,2003,26,CHUBUT                         ,91.9748635006,89.0765326045,93.7693099897,94.3656179313,91.246105919,92.0166753517,91.5069080004,81.9051503578,86.865364851,81.1381571635,76.8866779908,75.1963203949,70.7575559335,79.5893078421,77.2045855379
promocion,2003,2,CIUDAD DE BUENOS AIRES,97.7330835007,95.7184949545,98.5700996678,99.285326087,98.9295445699,99.0046087976,95.0131940331,87.9598095392,112.5311470139,81.5450355721,72.9117429397,82.2233804339,82.2764610475,86.1157120855,77.8326713811
promocion,2003,14,CORDOBA                        ,95.2000461296,91.4447531196,95.630500946,96.3263167089,95.5632919747,95.6143248868,96.9864020581,77.7446396905,78.9032025909,76.7195393366,77.2728227755,78.0213874517,74.6550621345,86.7593643587,72.8029121165
promocion,2003,18,CORRIENTES                     ,83.6332144806,79.3958902328,82.0088933515,82.9352878084,83.9752019538,88.6347704171,86.9661983586,82.7800416553,84.7010787378,81.19236543,82.2720478326,73.7924004757,76.8305853553,69.8312581914,74.4604706648
promocion,2003,30,ENTRE RIOS                     ,89.0195476606,81.6108827559,90.289711809,91.7003810048,90.2392572313,89.8482702812,92.1052631579,79.6138295746,86.7505488938,74.1855304039,77.1329970799,83.3897022303,80.5445298933,85.9584520253,84.1465487929
