cod_provincia,provincia,anio,erogacion_tipo,erogaciones,total_pesos
06,Buenos Aires,2003,Total,Total,3719477041
06,Buenos Aires,2003,Corrientes,Personal,2916842549
06,Buenos Aires,2003,Corrientes,Bienes y servicios no personales,124439083
06,Buenos Aires,2003,Corrientes,Transferencias a la educación privada,552289263
06,Buenos Aires,2003,Corrientes,Otras transferencias,80926266
06,Buenos Aires,2003,De capital,De capital,44979880
06,Buenos Aires,2004,Total,Total,3692614764
06,Buenos Aires,2004,Corrientes,Personal,143081464
06,Buenos Aires,2004,Corrientes,Bienes y servicios no personales,792909601
06,Buenos Aires,2004,Corrientes,Transferencias a la educación privada,693589734
06,Buenos Aires,2004,Corrientes,Otras transferencias,99319867
06,Buenos Aires,2004,De capital,De capital,102226723
06,Buenos Aires,2005,Total,Total,5318737166
06,Buenos Aires,2005,Corrientes,Personal,163346940
06,Buenos Aires,2005,Corrientes,Bienes y servicios no personales,1098188304
06,Buenos Aires,2005,Corrientes,Transferencias a la educación privada,964993234
06,Buenos Aires,2005,Corrientes,Otras transferencias,133195070
06,Buenos Aires,2005,De capital,De capital,113908824
06,Buenos Aires,2006,Total,Total,6963711588
06,Buenos Aires,2006,Corrientes,Personal,209184407
06,Buenos Aires,2006,Corrientes,Bienes y servicios no personales,1316189845
06,Buenos Aires,2006,Corrientes,Transferencias a la educación privada,1223023838
06,Buenos Aires,2006,Corrientes,Otras transferencias,93166007
06,Buenos Aires,2006,De capital,De capital,130480750
06,Buenos Aires,2007,Total,Total,8969940713
06,Buenos Aires,2007,Corrientes,Personal,236310363
06,Buenos Aires,2007,Corrientes,Bienes y servicios no personales,1611916618
06,Buenos Aires,2007,Corrientes,Transferencias a la educación privada,1523720131
06,Buenos Aires,2007,Corrientes,Otras transferencias,88196487
06,Buenos Aires,2007,De capital,De capital,141354617
06,Buenos Aires,2008,Total,Total,12939574227
06,Buenos Aires,2008,Corrientes,Personal,257180939
06,Buenos Aires,2008,Corrientes,Bienes y servicios no personales,2270947619
06,Buenos Aires,2008,Corrientes,Transferencias a la educación privada,2144443717
06,Buenos Aires,2008,Corrientes,Otras transferencias,126503902
06,Buenos Aires,2008,De capital,De capital,188317595
06,Buenos Aires,2009,Total,Total,16051597716
06,Buenos Aires,2009,Corrientes,Personal,309022900
06,Buenos Aires,2009,Corrientes,Bienes y servicios no personales,2806064775
06,Buenos Aires,2009,Corrientes,Transferencias a la educación privada,2655057479
06,Buenos Aires,2009,Corrientes,Otras transferencias,151007297
06,Buenos Aires,2009,De capital,De capital,217427645
06,Buenos Aires,2010,Total,Total,18349309981
06,Buenos Aires,2010,Corrientes,Personal,489271395
06,Buenos Aires,2010,Corrientes,Bienes y servicios no personales,3193812522
06,Buenos Aires,2010,Corrientes,Transferencias a la educación privada,3134090384
06,Buenos Aires,2010,Corrientes,Otras transferencias,59722138
06,Buenos Aires,2010,De capital,De capital,384162972
06,Buenos Aires,2011,Total,Total,25422474689
06,Buenos Aires,2011,Corrientes,Personal,609848957
06,Buenos Aires,2011,Corrientes,Bienes y servicios no personales,4172498838
06,Buenos Aires,2011,Corrientes,Transferencias a la educación privada,4088816402
06,Buenos Aires,2011,Corrientes,Otras transferencias,83682435
06,Buenos Aires,2011,De capital,De capital,482683742
02,Ciudad de Buenos Aires,2003,Total,Total,945826390
02,Ciudad de Buenos Aires,2003,Corrientes,Personal,707216445
02,Ciudad de Buenos Aires,2003,Corrientes,Bienes y servicios no personales,32673748
02,Ciudad de Buenos Aires,2003,Corrientes,Transferencias a la educación privada,159364354
02,Ciudad de Buenos Aires,2003,Corrientes,Otras transferencias,33304099
02,Ciudad de Buenos Aires,2003,De capital,De capital,13267745
02,Ciudad de Buenos Aires,2004,Total,Total,1112509151
02,Ciudad de Buenos Aires,2004,Corrientes,Personal,821531561
02,Ciudad de Buenos Aires,2004,Corrientes,Bienes y servicios no personales,53615971
02,Ciudad de Buenos Aires,2004,Corrientes,Transferencias a la educación privada,179789263
02,Ciudad de Buenos Aires,2004,Corrientes,Otras transferencias,30762353
02,Ciudad de Buenos Aires,2004,De capital,De capital,26810003
02,Ciudad de Buenos Aires,2005,Total,Total,1504187787
02,Ciudad de Buenos Aires,2005,Corrientes,Personal,1109427918
02,Ciudad de Buenos Aires,2005,Corrientes,Bienes y servicios no personales,63664742
02,Ciudad de Buenos Aires,2005,Corrientes,Transferencias a la educación privada,243058527
02,Ciudad de Buenos Aires,2005,Corrientes,Otras transferencias,54393140
02,Ciudad de Buenos Aires,2005,De capital,De capital,33643460
02,Ciudad de Buenos Aires,2006,Total,Total,2104244515
02,Ciudad de Buenos Aires,2006,Corrientes,Personal,1551861834
02,Ciudad de Buenos Aires,2006,Corrientes,Bienes y servicios no personales,72278180
02,Ciudad de Buenos Aires,2006,Corrientes,Transferencias a la educación privada,349175292
02,Ciudad de Buenos Aires,2006,Corrientes,Otras transferencias,60246416
02,Ciudad de Buenos Aires,2006,De capital,De capital,70682793
02,Ciudad de Buenos Aires,2007,Total,Total,2607944701
02,Ciudad de Buenos Aires,2007,Corrientes,Personal,1969379579
02,Ciudad de Buenos Aires,2007,Corrientes,Bienes y servicios no personales,71150141
02,Ciudad de Buenos Aires,2007,Corrientes,Transferencias a la educación privada,412433981
02,Ciudad de Buenos Aires,2007,Corrientes,Otras transferencias,51488707
02,Ciudad de Buenos Aires,2007,De capital,De capital,103492294
02,Ciudad de Buenos Aires,2008,Total,Total,3377648868
02,Ciudad de Buenos Aires,2008,Corrientes,Personal,2444980437
02,Ciudad de Buenos Aires,2008,Corrientes,Bienes y servicios no personales,110221030
02,Ciudad de Buenos Aires,2008,Corrientes,Transferencias a la educación privada,604025623
02,Ciudad de Buenos Aires,2008,Corrientes,Otras transferencias,61159255
02,Ciudad de Buenos Aires,2008,De capital,De capital,157262523
02,Ciudad de Buenos Aires,2009,Total,Total,4157985264
02,Ciudad de Buenos Aires,2009,Corrientes,Personal,2942748261
02,Ciudad de Buenos Aires,2009,Corrientes,Bienes y servicios no personales,141939167
02,Ciudad de Buenos Aires,2009,Corrientes,Transferencias a la educación privada,797444755
02,Ciudad de Buenos Aires,2009,Corrientes,Otras transferencias,121241938
02,Ciudad de Buenos Aires,2009,De capital,De capital,154611143
02,Ciudad de Buenos Aires,2010,Total,Total,5153081496
02,Ciudad de Buenos Aires,2010,Corrientes,Personal,3641548888
02,Ciudad de Buenos Aires,2010,Corrientes,Bienes y servicios no personales,179301972
02,Ciudad de Buenos Aires,2010,Corrientes,Transferencias a la educación privada,940871165
02,Ciudad de Buenos Aires,2010,Corrientes,Otras transferencias,153840427
02,Ciudad de Buenos Aires,2010,De capital,De capital,237519043
02,Ciudad de Buenos Aires,2011,Total,Total,6975091937
02,Ciudad de Buenos Aires,2011,Corrientes,Personal,4754723741
02,Ciudad de Buenos Aires,2011,Corrientes,Bienes y servicios no personales,241536875
02,Ciudad de Buenos Aires,2011,Corrientes,Transferencias a la educación privada,1226439526
02,Ciudad de Buenos Aires,2011,Corrientes,Otras transferencias,189341979
02,Ciudad de Buenos Aires,2011,De capital,De capital,563049815
10,Catamarca,2003,Total,Total,151781263
10,Catamarca,2003,Corrientes,Personal,132230277
10,Catamarca,2003,Corrientes,Bienes y servicios no personales,3855231
10,Catamarca,2003,Corrientes,Transferencias a la educación privada,11203524
10,Catamarca,2003,Corrientes,Otras transferencias,2286675
10,Catamarca,2003,De capital,De capital,2205557
10,Catamarca,2004,Total,Total,182543400
10,Catamarca,2004,Corrientes,Personal,162161151
10,Catamarca,2004,Corrientes,Bienes y servicios no personales,3102150
10,Catamarca,2004,Corrientes,Transferencias a la educación privada,13353040
10,Catamarca,2004,Corrientes,Otras transferencias,2222597
10,Catamarca,2004,De capital,De capital,1704462
10,Catamarca,2005,Total,Total,256073894
10,Catamarca,2005,Corrientes,Personal,224583319
